winner,firstServe1,firstServe2,Winner Ace,Loser Ace,Winner First Point,Opponent First Point
Agustin Calleri,61,63,17,5,100,53
Alex Calatrava,61,61,17,13,77,75
Alexander Peya,66,51,18,5,73,68
Alexandr Dolgopolov,52,61.5,19.5,14.5,80,70.5
Andre Agassi,57.5,65.5,17,15.5,78,67.5
Andrei Pavel,58,57,21,9,69,74
Andy Murray,57.6,60,18.4,10.6,77,67
Andy Roddick,69.28571429,60.35714286,21.14285714,10.07142857,83.35714286,71.85714286
Benjamin Becker,52.5,56.5,22,16.5,74,72.5
Bobby Reynolds,50,63,33,12,73,64
Carlos Moya,59.75,63.25,22.25,12.75,80.5,72.25
Carsten Ball,66.5,59.5,20,8,82.5,70.5
Chris Guccione,63,69,32,18,86,71
Cyril Saulnier,54,60,18,18,83,80
Daniel Brands,62,64,17,5,78,70
Denis Istomin,66,63,21,9,71,67
Dennis Novikov,50,51,25,12,81,80
Dmitry Tursunov,58.5,61,20,10,77.75,70.25
Dustin Brown,48,50,21,8,87,78
Ernests Gulbis,61,56.33333333,19.66666667,6,78.66666667,72.33333333
Fabrice Santoro,64,74,18,3,85,59
Feliciano Lopez,55.41666667,56.25,20.16666667,9.833333333,82.08333333,69.58333333
Fernando Gonzalez,59.5,57,21,8,83,74.5
Fernando Verdasco,59,63,17,14.5,70.5,72
Gael Monfils,61.66666667,52.33333333,17,3.666666667,75.33333333,66
Gilles Muller,56.44444444,60.88888889,25.11111111,10.66666667,83.55555556,74.66666667
Grega Zemlja,60,72,16,6,76,68
Gregory Carraz,54,57.5,23.5,12,80.5,74
Guillaume Rufin,50,56,21,14,80,77
Gustavo Kuerten,50,52,35,4,87,75
Igor Andreev,57,56,19,2,77,70
Ivan Dodig,66,51,16,2,82,64
Ivan Ljubicic,52,54.66666667,25,4.666666667,84.66666667,68
Ivo Karlovic,64,59.75,30.75,4.25,85.625,74.25
James Blake,48,70,21,5,79,64
Jan-Michael Gambill,52,55,17,7,86,66
Janko Tipsarevic,60.4,55.6,18.8,12,80,72.8
Jeremy Chardy,58.5,62,18,5,85.5,69.5
Jiri Vanek,60,47,18,15,80,75
Jo-Wilfried Tsonga,72,55,21,4,78,70
Joachim Johansson,59.25,56.25,24,16.5,83,77.75
John Isner,66.66666667,65.75,23,7.75,81.58333333,71.58333333
Jonas Bjorkman,52,60,17,15,88,64
Jose Acasuso,51,62,20,14,88,79
Juan Carlos Ferrero,62,52.5,19.5,9,73,66
Juan Martin Del Potro,62.75,61,19.75,3,84,60.25
Julien Benneteau,62,50.33333333,20,7.666666667,78.66666667,71.33333333
Jurgen Melzer,63,54.5,19.5,4.5,80,59
Kevin Anderson,53,59,20,10,78,83
Lars Burgsmuller,54,57,20,8,70,65
Lleyton Hewitt,47,63,17.5,21,71.5,77
Marat Safin,54,58,19,9,81,69
Marcos Baghdatis,54.33333333,54.33333333,17.66666667,6.333333333,78,68
Mardy Fish,55.66666667,59.83333333,19.5,5,81,64.16666667
Marin Cilic,55.5,61.5,18.5,9,79.5,68
Mark Philippoussis,54.5,54,20.5,6.5,81,66
Martin Verkerk,54,59,34,12,86,75
Max Mirnyi,54,47.5,21.5,6,82.5,77
Michael Llodra,56,55,17,13,75,70
Milos Raonic,61.2,61.8,29,3.6,87.8,71.4
Nicolas Almagro,58.2,57.6,23,10.8,76.2,71.4
Nicolas Kiefer,55,57,19,6,79,67
Nicolas Lapentti,62,46,16,12,64,66
Novak Djokovic,54,60,18,11,79,80
Paradorn Srichaphan,61,61,23,29,82,85
Paul-Henri Mathieu,53.5,49.5,17.5,16,75.5,74
Radek Stepanek,56,53,18,3,77,66
Richard Gasquet,59,52,22,5,87,61
Robby Ginepri,56,53,20,9,71,70
Robert Kendrick,63.5,65,22,10,83.5,71
Robin Soderling,55.5,58,21,12.5,87.5,76
Roger Federer,65.375,63.125,19.375,4.75,80.375,65.75
Rogerio Dutra Da Silva,57,61,24,2,78,76
Ryler Deheart,52,58,19,4,74,68
Sam Querrey,58.57142857,59.71428571,19.85714286,8.142857143,84.28571429,71.71428571
Sargis Sargsian,50,54,19.5,15.5,75,68
Sebastien Grosjean,62,63,20,12,76,74
Sergei Bubka,69,53,25,14,84,75
Sergiy Stakhovsky,58,65,29,2,80,68
Stanislas Wawrinka,52,58.5,19,7.75,81.5,73.25
Steve Darcis,54,53,20,7,77,66
Taylor Dent,56.66666667,63.16666667,19.66666667,8.333333333,80.66666667,70.33333333
Teimuraz Gabashvili,58,62,16,10,83,71
Thomas Johansson,56.5,49,17.5,12.5,78,69.5
Tim Henman,61,55,22,10,72,66
Tim Smyczek,63,69,21,8,75,67
Todd Martin,69,56,17,26,80,88
Tomas Berdych,58,56.8,18.4,10.6,82.4,69
Tommy Haas,57.5,58.5,17.83333333,10.66666667,77.66666667,69
Vince Spadea,48,68,19,3,85,73
Xavier Malisse,57,65,20,6.333333333,76.33333333,68
Younes El Aynaoui,71.66666667,64.33333333,22,6.333333333,78,72.33333333
